Store ID,Transaction Type,Amount,Transaction Count,Date
41,PO,0,0,8/5/2019
40,PO,0,0,8/5/2019
39,PO,0,0,8/5/2019
38,PO,0,0,8/5/2019
37,PO,0,0,8/5/2019
23,PO,0,0,8/5/2019
22,PO,0,0,8/5/2019
21,PO,0,0,8/5/2019
20,PO,0,0,8/5/2019
19,PO,0,0,8/5/2019
12,PO,0,0,8/5/2019
11,PO,0,0,8/5/2019
10,PO,0,0,8/5/2019
6,PO,0,0,8/5/2019
3,PO,0,0,8/5/2019
2,PO,0,0,8/5/2019
1,PO,0,0,8/5/2019
41,Other,0,0,8/5/2019
40,Other,0,0,8/5/2019
39,Other,0,0,8/5/2019
38,Other,0,0,8/5/2019
37,Other,0,0,8/5/2019
23,Other,0,0,8/5/2019
22,Other,0,0,8/5/2019
21,Other,0,0,8/5/2019
20,Other,0,0,8/5/2019
19,Other,0,0,8/5/2019
12,Other,0,0,8/5/2019
11,Other,0,0,8/5/2019
10,Other,0,0,8/5/2019
6,Other,0,0,8/5/2019
3,Other,0,0,8/5/2019
2,Other,0,0,8/5/2019
1,Other,0,0,8/5/2019
41,Notas,0,0,8/5/2019
40,Notas,0,0,8/5/2019
39,Notas,0,0,8/5/2019
38,Notas,0,0,8/5/2019
37,Notas,0,0,8/5/2019
23,Notas,0,0,8/5/2019
22,Notas,0,0,8/5/2019
21,Notas,0,0,8/5/2019
20,Notas,0,0,8/5/2019
19,Notas,0,0,8/5/2019
12,Notas,0,0,8/5/2019
11,Notas,0,0,8/5/2019
10,Notas,0,0,8/5/2019
6,Notas,0,0,8/5/2019
3,Notas,0,0,8/5/2019
2,Notas,0,0,8/5/2019
1,Notas,0,0,8/5/2019
41,Manual Credit,0,0,8/5/2019
40,Manual Credit,0,0,8/5/2019
39,Manual Credit,0,0,8/5/2019
38,Manual Credit,0,0,8/5/2019
37,Manual Credit,0,0,8/5/2019
23,Manual Credit,0,0,8/5/2019
22,Manual Credit,0,0,8/5/2019
21,Manual Credit,0,0,8/5/2019
20,Manual Credit,0,0,8/5/2019
19,Manual Credit,0,0,8/5/2019
12,Manual Credit,0,0,8/5/2019
11,Manual Credit,0,0,8/5/2019
10,Manual Credit,0,0,8/5/2019
6,Manual Credit,0,0,8/5/2019
3,Manual Credit,0,0,8/5/2019
2,Manual Credit,0,0,8/5/2019
1,Manual Credit,0,0,8/5/2019
41,Gift Card,0,0,8/5/2019
40,Gift Card,0,0,8/5/2019
39,Gift Card,0,0,8/5/2019
38,Gift Card,12.56,1,8/5/2019
37,Gift Card,0,0,8/5/2019
23,Gift Card,0,0,8/5/2019
22,Gift Card,0,0,8/5/2019
21,Gift Card,0,0,8/5/2019
20,Gift Card,0,0,8/5/2019
19,Gift Card,0,0,8/5/2019
12,Gift Card,0,0,8/5/2019
11,Gift Card,0,0,8/5/2019
10,Gift Card,0,0,8/5/2019
6,Gift Card,0,0,8/5/2019
3,Gift Card,4.6,1,8/5/2019
2,Gift Card,0,0,8/5/2019
1,Gift Card,0,0,8/5/2019
41,EPay,0,0,8/5/2019
40,EPay,136.13,6,8/5/2019
39,EPay,102.39,7,8/5/2019
38,EPay,56.9,4,8/5/2019
37,EPay,74.29,3,8/5/2019
23,EPay,121.73,8,8/5/2019
22,EPay,57.77,3,8/5/2019
21,EPay,109.98,11,8/5/2019
20,EPay,80.56,5,8/5/2019
19,EPay,40.28,4,8/5/2019
12,EPay,116.1,7,8/5/2019
11,EPay,39.81,3,8/5/2019
10,EPay,137.04,12,8/5/2019
6,EPay,77.01,5,8/5/2019
3,EPay,124.02,10,8/5/2019
2,EPay,19.98,3,8/5/2019
1,EPay,16.53,1,8/5/2019
41,EBT,0,0,8/5/2019
40,EBT,0,0,8/5/2019
39,EBT,0,0,8/5/2019
38,EBT,0,0,8/5/2019
37,EBT,0,0,8/5/2019
23,EBT,0,0,8/5/2019
22,EBT,0,0,8/5/2019
21,EBT,0,0,8/5/2019
20,EBT,0,0,8/5/2019
19,EBT,0,0,8/5/2019
12,EBT,0,0,8/5/2019
11,EBT,0,0,8/5/2019
10,EBT,0,0,8/5/2019
6,EBT,0,0,8/5/2019
3,EBT,0,0,8/5/2019
2,EBT,0,0,8/5/2019
1,EBT,0,0,8/5/2019
41,Debit,0,0,8/5/2019
40,Debit,0,0,8/5/2019
39,Debit,0,0,8/5/2019
38,Debit,0,0,8/5/2019
37,Debit,0,0,8/5/2019
23,Debit,0,0,8/5/2019
22,Debit,0,0,8/5/2019
21,Debit,0,0,8/5/2019
20,Debit,0,0,8/5/2019
19,Debit,0,0,8/5/2019
12,Debit,0,0,8/5/2019
11,Debit,0,0,8/5/2019
10,Debit,0,0,8/5/2019
6,Debit,0,0,8/5/2019
3,Debit,0,0,8/5/2019
2,Debit,0,0,8/5/2019
1,Debit,0,0,8/5/2019
41,Cust. Account,0,0,8/5/2019
40,Cust. Account,0,0,8/5/2019
39,Cust. Account,0,0,8/5/2019
38,Cust. Account,0,0,8/5/2019
37,Cust. Account,0,0,8/5/2019
23,Cust. Account,0,0,8/5/2019
22,Cust. Account,0,0,8/5/2019
21,Cust. Account,0,0,8/5/2019
